2.747538,	-0.001273,	1.338553,	-1.911517,	-0.372783,	-2.255911,	
0.409090,	-0.001539,	11.810844,	3.514840,	7.407769,	-3.277122,	
-2.451851,	-0.002197,	1.826360,	-3.168308,	-0.435846,	-3.503914,	
-2.119906,	-0.000619,	0.020028,	-4.171671,	-1.247048,	-4.821881,	
0.493825,	-0.001139,	11.872927,	3.593371,	7.107239,	-2.660898,	
-2.645660,	-0.001670,	2.471756,	-2.511655,	0.215576,	-2.322222,	
-2.757321,	-0.002607,	0.345195,	-1.704039,	-1.079261,	-2.703533,	
0.634165,	-0.001201,	11.887174,	3.859761,	6.493544,	-1.366600,	
-0.895558,	-0.008556,	1.136389,	-6.882029,	3.425583,	-9.046103,	
0.632450,	-0.003581,	2.224532,	-5.934990,	5.173537,	-10.096892,	
-0.827669,	-0.005215,	2.986278,	-5.947395,	4.575757,	-9.060857,	
1.250271,	-0.002790,	-0.311217,	-7.066227,	0.996839,	-7.377655,	
0.658079,	-0.002648,	6.596898,	-3.223469,	6.640903,	-8.466770,	
0.901494,	-0.004148,	-8.547915,	-7.431870,	-2.446507,	-5.921934,	
-2.515172,	-0.001199,	3.966480,	-2.691881,	1.329239,	-1.615959,	
0.798471,	-0.000634,	11.589581,	3.074089,	6.240229,	-1.277522,	
-0.996591,	-0.005930,	0.815715,	-7.069440,	2.759995,	-8.582296,	
0.638946,	-0.009188,	2.486367,	-5.832289,	5.229890,	-10.001620,	
-0.546440,	-0.001284,	2.112554,	-5.867311,	5.618568,	-10.671448,	
0.795661,	-0.002367,	1.100194,	-6.679580,	3.810145,	-9.339516,	
0.331153,	-0.007639,	-5.878752,	-8.598965,	2.009462,	-10.494202,	
1.230360,	-0.000144,	7.759515,	-3.566606,	4.738909,	-5.148277,	
0.594773,	-0.004814,	-4.972349,	-8.464323,	1.528729,	-9.726393,	
-0.583089,	-0.003037,	-5.326501,	-8.578016,	1.421464,	-9.766976,	
-0.977854,	-0.001728,	7.856119,	-3.230654,	5.732658,	-6.442290,	
-1.455518,	-0.005098,	-4.426903,	-6.405542,	-1.842125,	-6.184328,	
0.775278,	-0.005526,	4.312618,	-5.208269,	5.357944,	-9.014274,	
0.675049,	-0.005646,	-1.095119,	-7.512623,	3.397566,	-10.152992,	
-0.633932,	-0.001781,	11.816492,	2.815173,	7.075117,	-2.892739,	
