2.722735,	-0.000000,	0.770515,	-1.776956,	-0.731781,	-2.445478,	
2.375089,	-0.000020,	2.859179,	-3.351718,	0.300290,	-3.135404,	
-1.821912,	-0.000029,	3.496058,	-5.233992,	1.132782,	-4.952545,	
-1.703789,	-0.000053,	1.754975,	-5.825852,	0.495739,	-5.760142,	
2.074547,	-0.000005,	6.080942,	-2.860977,	2.659842,	-1.577022,	
1.870020,	-0.000027,	-1.157315,	-4.948583,	-1.367514,	-5.351731,	
0.255591,	-0.000030,	7.204341,	-1.755423,	8.367763,	-9.851288,	
1.325030,	-0.000022,	8.790990,	-2.128101,	4.796289,	-3.294935,	
-2.565894,	-0.000013,	-1.146613,	-1.502504,	-1.856611,	-3.059839,	
-0.026653,	-0.000018,	-9.145507,	-8.875205,	-0.273256,	-8.602046,	
1.959213,	-0.000030,	-4.068973,	-3.144550,	-2.833203,	-4.217629,	
-2.085046,	-0.000005,	-4.501389,	-1.890589,	-3.089392,	-3.410191,	
